Time [s];Position [°];Current [A];Voltage [V];;;;;;
0,442;190,283;0,000;0,000;;;;;;
0,443;190,283;0,000;0,004;;;;;;
0,444;190,283;0,000;0,004;;;;;;
0,445;190,195;0,000;-0,004;;;;;;
0,446;190,195;0,000;-0,004;;;;;;
0,447;190,195;0,000;0,000;;;;;;
0,448;190,195;0,000;0,000;;;;;;
0,449;190,195;0,000;-0,004;;;;;;
0,45;190,195;0,000;-0,004;;;;;;
0,451;190,195;0,000;0,004;;;;;;
0,452;190,195;0,000;0,004;;;;;;
0,453;190,195;0,000;0,004;;;;;;
0,454;190,195;0,000;0,004;;;;;;
0,455;190,195;0,000;0,000;;;;;;
0,456;190,195;0,000;0,000;;;;;;
0,457;190,283;0,000;0,004;;;;;;
0,458;190,283;0,000;0,004;;;;;;
0,459;190,283;0,000;0,004;;;;;;
0,46;190,283;0,000;0,004;;;;;;
0,461;190,283;0,000;0,004;;;;;;
0,462;190,283;0,000;0,004;;;;;;
0,463;190,283;0,000;-0,004;;;;;;
0,464;190,283;0,000;-0,004;;;;;;
0,465;190,283;0,000;-0,004;;;;;;
0,466;190,283;0,000;-0,004;;;;;;
0,467;190,283;0,000;0,000;;;;;;
0,468;190,283;0,000;0,000;;;;;;
0,469;190,283;0,000;0,000;;;;;;
0,47;190,283;0,000;0,000;;;;;;
0,471;190,195;0,000;0,004;;;;;;
0,472;190,195;0,000;0,004;;;;;;
0,473;190,195;0,000;0,008;;;;;;
0,474;190,195;0,000;0,008;;;;;;
0,475;190,283;0,000;0,004;;;;;;
0,476;190,283;0,000;0,004;;;;;;
0,477;190,283;0,000;0,000;;;;;;
0,478;190,283;0,000;0,000;;;;;;
0,479;190,283;0,000;-0,004;;;;;;
0,48;190,283;0,000;-0,004;;;;;;
0,481;190,283;0,000;0,000;;;;;;
0,482;190,283;0,000;0,000;;;;;;
0,483;190,283;0,000;0,000;;;;;;
0,484;190,283;0,000;0,000;;;;;;
0,485;190,195;0,000;0,004;;;;;;
0,486;190,195;0,000;0,004;;;;;;
0,487;190,283;0,000;0,004;;;;;;
0,488;190,283;0,000;0,004;;;;;;
0,489;190,195;0,000;0,000;;;;;;
0,49;190,195;0,000;0,000;;;;;;
0,491;190,283;0,000;0,004;;;;;;
0,492;190,283;0,000;0,004;;;;;;
0,493;190,195;0,000;0,000;;;;;;
0,494;190,195;0,000;0,000;;;;;;
0,495;190,195;0,000;0,000;;;;;;
0,496;190,195;0,000;0,000;;;;;;
0,497;190,195;0,000;0,000;;;;;;
0,498;190,195;0,000;0,000;;;;;;
0,499;190,283;0,000;0,004;;;;;;
0,5;190,283;0,000;0,004;;;;;;
0,501;190,195;0,000;0,000;;;;;;
0,502;190,195;0,000;0,000;;;;;;
0,503;190,283;0,000;-0,004;;;;;;
0,504;190,283;0,000;-0,004;;;;;;
0,505;190,283;0,000;0,000;;;;;;
0,506;190,283;0,000;0,000;;;;;;
